,w_wg_list,n_eff2,n_eff3,n_eff4
0,0.2,2.7502682365474653,2.636503605969853,2.6253918684385695
1,0.21,2.750272377257158,2.636502494117015,2.625392384437583
2,0.22,2.8068448665464065,2.637847612699674,2.627172826811039
3,0.23,2.850927969296879,2.6398527673115195,2.6288700330020855
4,0.24,2.8509289398734126,2.63985245846539,2.628870200355647
5,0.25,2.850928783993188,2.6398507969896285,2.6288683274997484
6,0.26,2.8509321147819278,2.639852342786371,2.6288701497193174
7,0.27,2.9161261085231076,2.6488488745016503,2.6335761612352377
8,0.28,2.9161266032044715,2.648847362816803,2.6335740745156797
9,0.29,2.916126637426642,2.648852856910121,2.633575683592808
10,0.3,2.916122765198935,2.6488498392890625,2.633568982881839
11,0.31,2.961803334072641,2.6792782681973324,2.6447494272396814
12,0.32,2.9618006913084365,2.6792896997077356,2.644753860604339
13,0.33,2.961804982247774,2.679278922278413,2.644733405892148
14,0.34,2.9618006023345007,2.6792662148771687,2.6447514844098596
15,0.35,2.9950322307437984,2.751618759016711,2.664201015453102
16,0.36,2.9950303352950014,2.7516318632141274,2.6641990102729567
17,0.37,2.9950291479741127,2.751631523028936,2.6641932906663772
18,0.38,2.9950297268928994,2.7515970937174052,2.66419506646319
19,0.39,3.019897233956512,2.839418098802611,2.6839956629921726
20,0.4,3.0198973842825136,2.839412815206426,2.6839958755815183
21,0.41,3.0198982322897368,2.839418047713344,2.6839941222759194
22,0.42,3.03003227140865,2.879909322240373,2.706360629328555
23,0.43,3.0389543660559477,2.9166751864606253,2.73769744785533
24,0.44,3.038956070115263,2.9166619125191584,2.737706015910985
25,0.45,3.0389563703567175,2.916678393132411,2.7376991642568105
26,0.46,3.0468524308508833,2.94972859613924,2.7665731669523956
27,0.47,3.0538691443199864,2.979350248672487,2.7929172224726355
28,0.48,3.053869385837802,2.9793559075288947,2.792924540705583
29,0.49,3.0538660971143563,2.979352946887599,2.792925626573412
30,0.5,3.0601341730475333,3.0058703009828687,2.816882397410536
31,0.51,3.0657486241459657,3.0296397288887893,2.838676060797755
32,0.52,3.065751941968242,3.0296468397842617,2.838674335540341
33,0.53,3.0657490250616677,3.0296396528020746,2.8386755988122223
34,0.54,3.0708069049300173,3.0509976583957688,2.858480053652818
35,0.55,3.0753682030325296,3.070238884148399,2.8765008287179556
36,0.56,3.075365111973232,3.070228444986788,2.876503302544355
37,0.57,3.0753676678159416,3.070238423757076,2.8765032487152444
38,0.58,3.0876204301733208,3.079500789700646,2.8929208948077823
39,0.59,3.1033681867231775,3.0832572992929204,2.9079109560762526
40,0.6,3.1033710971927895,3.0832570563982094,2.9079120653757338
41,0.61,3.103369077063971,3.0832558852899488,2.9079163962357457
42,0.62,3.117676298443357,3.0866809442967096,2.9216204291865333
43,0.63,3.130710349218558,3.0898088911938992,2.934179561021208
44,0.64,3.130713377726981,3.0898093066846943,2.93417677503398
45,0.65,3.1307049553796773,3.0898107344636148,2.934182479821682
46,0.66,3.1535260071652327,3.0953147728921566,2.9563241518676535
47,0.67,3.153523311199684,3.0953116271780554,2.9563298180587663
48,0.68,3.153523326576648,3.095312161806732,2.956330384870075
49,0.69,3.1535405062948163,3.095313466722318,2.9563349961159435
50,0.7,3.1635450816873663,3.0977375962633737,2.9661126373135223
51,0.71,3.172746033423338,3.099973018492171,2.9751463510858964
52,0.72,3.1727449033603357,3.0999790167103702,2.9751463665049838
53,0.73,3.172745978114822,3.0999769856216277,2.9751456054028163
54,0.74,3.181241064579441,3.1020506499652623,2.983505345974534
55,0.75,3.1890856464580613,3.1039704078471515,2.9979933700015335
56,0.76,3.1890896448996884,3.1039695923873682,2.997991212651303
57,0.77,3.189090010041616,3.103970842691931,2.9979946552768793
58,0.78,3.196358413720852,3.1057536038255984,3.01486566598759
59,0.79,3.2031041626773953,3.107415537623452,3.0305064119504075
60,0.8,3.2031009871612293,3.1074167222498956,3.0305110992877697
61,0.81,3.203102090419247,3.1074154592501633,3.0305089431862613
62,0.82,3.2093713598116773,3.1089673494433385,3.0450435899452195
63,0.83,3.2152019436097863,3.1104191056624213,3.058583585792138
64,0.84,3.2152040838810456,3.110417686152182,3.058576192157253
65,0.85,3.215200493151364,3.1104148129718245,3.0585762009783926
66,0.86,3.2206495151341663,3.1117803787636453,3.071177376077751
67,0.87,3.225730096311756,3.113070486095228,3.0829317493319257
68,0.88,3.2257279564386017,3.1130728587828735,3.082928470224586
69,0.89,3.225727139013272,3.1130708895650976,3.082926643278985
70,0.9,3.230485847243689,3.1143086014930703,3.0938842682626517
71,0.91,3.2349383150627116,3.1155705979457737,3.104040335204392
72,0.92,3.234940318250573,3.1155688948434435,3.1040404573522253
73,0.93,3.2349423551580063,3.115570507923425,3.1040393420170713
74,0.94,3.2391185733022705,3.117403077072002,3.112910160015022
75,0.95,3.2430477229414345,3.1237115165563796,3.11665419993909
76,0.96,3.2430488217473,3.123712716138095,3.11665357810006
77,0.97,3.2430464505266183,3.1237130770428143,3.116652943104408
78,0.98,3.2467413947054222,3.1319268900426436,3.1178857830170754
79,0.99,3.250216705815768,3.139859896716417,3.118850484147709
80,1.0,3.250219328116769,3.1398602838269767,3.1188504623153745
